date,sales,promo
2023-01-01,107.25,0
2023-01-02,114.03,0
2023-01-03,132.18,0
2023-01-04,142.22,0
2023-01-05,120.18,0
2023-01-06,127.3,1
2023-01-07,133.83,1
2023-01-08,110.37,0
2023-01-09,112.34,0
2023-01-10,132.3,0
2023-01-11,127.29,0
2023-01-12,119.29,0
2023-01-13,112.07,0
2023-01-14,86.85,0
2023-01-15,91.39,0
2023-01-16,112.56,0
2023-01-17,120.82,0
2023-01-18,154.47,1
2023-01-19,116.71,0
2023-01-20,99.8,0
2023-01-21,134.84,1
2023-01-22,104.34,0
2023-01-23,118.55,0
2023-01-24,118.48,0
2023-01-25,128.56,0
2023-01-26,125.82,0
2023-01-27,102.85,0
2023-01-28,107.08,0
2023-01-29,102.3,0
2023-01-30,116.64,0
2023-01-31,126.02,0
2023-02-01,148.69,0
2023-02-02,125.78,0
2023-02-03,104.55,0
2023-02-04,131.61,1
2023-02-05,98.3,0
2023-02-06,121.6,0
2023-02-07,136.12,1
2023-02-08,124.2,0
2023-02-09,128.43,0
2023-02-10,119.88,0
2023-02-11,107.36,0
2023-02-12,128.1,1
2023-02-13,138.48,1
2023-02-14,120.93,0
2023-02-15,130.03,0
2023-02-16,124.12,0
2023-02-17,123.39,0
2023-02-18,109.7,0
2023-02-19,95.88,0
2023-02-20,124.44,0
2023-02-21,130.63,0
2023-02-22,131.33,0
2023-02-23,133.66,0
2023-02-24,124.14,0
2023-02-25,135.36,1
2023-02-26,104.23,0
2023-02-27,140.33,1
2023-02-28,137.32,0
2023-03-01,145.51,0
2023-03-02,125.89,0
2023-03-03,115.36,0
2023-03-04,100.02,0
2023-03-05,102.33,0
2023-03-06,130.27,0
2023-03-07,146.48,0
2023-03-08,138.09,0
2023-03-09,138.71,0
2023-03-10,120.7,0
2023-03-11,104.67,0
2023-03-12,115.75,0
2023-03-13,137.03,0
2023-03-14,136.3,0
2023-03-15,172.14,1
2023-03-16,110.69,0
2023-03-17,125.34,0
2023-03-18,111.48,0
2023-03-19,111.43,0
2023-03-20,126.42,0
2023-03-21,141.65,1
2023-03-22,138.83,0
2023-03-23,135.46,0
2023-03-24,131.55,0
2023-03-25,107.6,0
2023-03-26,108.31,0
2023-03-27,122.63,0
2023-03-28,145.83,0
2023-03-29,144.17,0
2023-03-30,129.32,0
2023-03-31,124.79,0
2023-04-01,133.48,1
2023-04-02,123.49,0
2023-04-03,121.99,0
2023-04-04,156.85,1
2023-04-05,159.36,1
2023-04-06,122.81,0
2023-04-07,124.01,0
2023-04-08,115.75,0
2023-04-09,136.74,1
2023-04-10,126.68,0
2023-04-11,129.1,0
2023-04-12,140.09,0
2023-04-13,132.74,0
2023-04-14,116.18,0
2023-04-15,113.33,0
2023-04-16,120.89,0
2023-04-17,144.61,0
2023-04-18,162.78,1
2023-04-19,146.48,0
2023-04-20,155.84,1
2023-04-21,108.21,0
2023-04-22,115.37,0
2023-04-23,119.1,0
2023-04-24,150.19,0
2023-04-25,140.81,0
2023-04-26,147.79,0
2023-04-27,137.12,0
2023-04-28,115.17,0
2023-04-29,125.68,0
2023-04-30,125.59,0
2023-05-01,137.77,0
2023-05-02,136.03,0
2023-05-03,157.56,0
2023-05-04,127.14,0
2023-05-05,130.17,0
2023-05-06,135.02,0
2023-05-07,112.61,0
2023-05-08,147.87,1
2023-05-09,145.06,0
2023-05-10,143.27,0
2023-05-11,126.91,0
2023-05-12,126.99,0
2023-05-13,129.96,1
2023-05-14,145.28,1
2023-05-15,126.0,0
2023-05-16,157.62,0
2023-05-17,141.99,0
2023-05-18,137.7,0
2023-05-19,133.9,0
2023-05-20,109.57,0
2023-05-21,124.27,0
2023-05-22,164.77,1
2023-05-23,133.32,0
2023-05-24,150.69,0
2023-05-25,143.31,0
2023-05-26,134.61,0
2023-05-27,110.48,0
2023-05-28,112.85,0
2023-05-29,139.45,0
2023-05-30,149.51,0
2023-05-31,152.18,0
2023-06-01,144.96,0
2023-06-02,123.87,0
2023-06-03,123.19,0
2023-06-04,126.71,0
2023-06-05,130.52,0
2023-06-06,163.02,0
2023-06-07,154.92,0
2023-06-08,133.62,0
2023-06-09,135.52,0
2023-06-10,134.5,1
2023-06-11,131.62,0
2023-06-12,146.46,0
2023-06-13,142.49,0
2023-06-14,159.8,0
2023-06-15,147.41,0
2023-06-16,137.81,0
2023-06-17,138.43,0
2023-06-18,124.32,0
2023-06-19,132.12,0
2023-06-20,142.9,0
2023-06-21,146.52,0
2023-06-22,144.45,0
2023-06-23,134.92,0
2023-06-24,126.43,0
2023-06-25,133.86,0
2023-06-26,159.21,1
2023-06-27,162.6,0
2023-06-28,151.89,0
2023-06-29,187.79,1
2023-06-30,138.15,0
2023-07-01,118.31,0
2023-07-02,119.64,0
2023-07-03,143.93,0
2023-07-04,150.15,0
2023-07-05,160.68,0
2023-07-06,170.77,1
2023-07-07,133.53,0
2023-07-08,119.36,0
2023-07-09,117.04,0
2023-07-10,137.46,0
2023-07-11,159.74,0
2023-07-12,177.64,1
2023-07-13,137.98,0
2023-07-14,136.45,0
2023-07-15,150.17,1
2023-07-16,123.05,0
2023-07-17,143.22,0
2023-07-18,154.32,0
2023-07-19,147.74,0
2023-07-20,151.77,0
2023-07-21,140.51,0
2023-07-22,136.71,0
2023-07-23,139.51,0
2023-07-24,131.92,0
2023-07-25,147.31,0
2023-07-26,161.96,0
2023-07-27,153.97,0
2023-07-28,141.11,0
2023-07-29,159.83,0
2023-07-30,136.61,0
2023-07-31,152.99,0
2023-08-01,163.4,0
2023-08-02,164.01,0
2023-08-03,148.3,0
2023-08-04,144.02,0
2023-08-05,123.78,0
2023-08-06,131.1,0
2023-08-07,140.98,0
2023-08-08,177.38,1
2023-08-09,178.28,0
2023-08-10,156.84,1
2023-08-11,144.39,0
2023-08-12,118.02,0
2023-08-13,130.18,0
2023-08-14,154.53,0
2023-08-15,158.2,0
2023-08-16,152.1,0
2023-08-17,167.02,1
2023-08-18,145.3,0
2023-08-19,126.04,0
2023-08-20,136.65,0
2023-08-21,147.15,0
2023-08-22,153.43,0
2023-08-23,178.83,0
2023-08-24,158.77,0
2023-08-25,124.62,0
2023-08-26,154.33,1
2023-08-27,130.58,0
2023-08-28,154.56,0
2023-08-29,153.26,0
2023-08-30,161.72,0
2023-08-31,158.7,0
2023-09-01,148.71,0
2023-09-02,144.2,1
2023-09-03,134.16,0
2023-09-04,144.9,0
2023-09-05,175.34,1
2023-09-06,177.72,0
2023-09-07,158.86,0
2023-09-08,152.65,1
2023-09-09,142.1,0
2023-09-10,154.77,0
2023-09-11,157.92,0
2023-09-12,169.37,1
2023-09-13,160.68,0
2023-09-14,166.71,0
2023-09-15,138.04,0
2023-09-16,139.27,0
2023-09-17,164.95,1
2023-09-18,143.2,0
2023-09-19,182.0,1
2023-09-20,159.58,1
2023-09-21,149.34,0
2023-09-22,142.64,0
2023-09-23,126.7,0
2023-09-24,152.77,0
2023-09-25,140.13,0
2023-09-26,159.92,0
2023-09-27,167.52,0
2023-09-28,170.02,0
2023-09-29,134.13,0
2023-09-30,146.94,0
2023-10-01,140.75,0
